simbad,propid,name,pi_l,pi_f,date,ra,dec,mode,nfiles,title,bibcode,altnames,simbad,jd
HAT-P-38,14260,HAT-P-38,Deming,Drake,2016-08-26,35.38370530068,32.2462125186,WFC3 IR G141,140,"['an hst/wfc3 thermal emission spectrum of the hot jupiter hat-p-7b', 'a comparative study of wasp-67 b and hat-p-38 b from wfc3 data', 'hst hot jupiter transmission spectral survey: detection of water in hat-p-1b from wfc3 near-ir spatial scan observations']","['2018AJ....156...10M', '2018AJ....155...55B', '2013MNRAS.435.3481W']","['2MASS J02213197+3214461' 'GSC 02314-00559' 'Gaia DR2 324889227693298560'
 'HAT-P-38' 'NAME Horna' 'SPOCS 2021' 'TIC 285272237' 'UCAC4 612-006640'
 '[BFV2016] HTR211-003']",HAT-P-38,2457626.5
WASP-52,14260,WASP-52,Deming,Drake,2016-08-28,348.4948333333,8.761277777778,WFC3 IR G141,56,"['starspot occultations in infrared transit spectroscopy: the case of wasp-52b', 'wasp-52b. the effect of star-spot correction on atmospheric retrievals']","['2018AJ....156..124B', '2020MNRAS.491.5361B']","['2MASS J23135873+0845405' 'Gaia DR2 2666015878575546496' 'NAME Anadolu'
 'SPOCS 3255' 'TIC 427685831' 'UCAC2  34947834' 'UCAC4 494-144379'
 'WASP-52']",WASP-52,2457628.5
HAT-P-12,14260,HAT-P-12,Deming,Drake,2016-08-31,209.388777398,43.4933594611,WFC3 IR G141,160,"['estimating dayside effective temperatures of hot jupiters and associated uncertainties through gaussian process regression', 'a near-infrared transmission spectrum for the warm saturn hat-p-12b']","['2019MNRAS.489..941P', '2013ApJ...778..183L']","['2MASS J13573347+4329367' 'GSC 03033-00706'
 'Gaia DR2 1499514786891168640' 'Gaia EDR3 1499514786891168640' 'HAT-P-12'
 'SDSS J135733.42+432936.5' 'TIC 198108326' 'USNO-B1.0 1334-00248749']",HAT-P-12,2457631.5
WASP-63,14642,WASP-63,Stevenson,Kevin,2016-09-19,94.33644333333,-38.32327777778,WFC3 IR G141,175,['signatures of nitrogen chemistry in hot jupiter atmospheres'],['2017ApJ...850L..15M'],"['1SWASP J061720.74-381923.8' '2MASS J06172074-3819237' 'CD-38  2551'
 'GSC 07612-00556' 'Gaia DR1 5574766463859305344'
 'Gaia DR2 5574766468155514752' 'TIC 393414358' 'TYC 7612-556-1' 'WASP-63']",WASP-63,2457650.5
WASP-101,14767,WASP-101,Sing,David,2016-10-02,98.35108781988,-23.48606092717,WFC3 IR G141,65,['indications for very high metallicity and absence of methane in the eccentric exo-saturn wasp-117b'],['2021A&A...646A.168C'],"['1SWASP J063324.26-232910.2' '2MASS J06332426-2329103' 'CPD-23  1329'
 'GSC 06507-02660' 'Gaia DR1 2924661862864535936'
 'Gaia DR2 2924661867160818304' 'PPM 726498' 'TIC 47911178' 'TOI-471'
 'TYC 6507-2660-1' 'WASP-101']",WASP-101,2457663.5
HAT-P-41,14767,HAT-P-41,Sing,David,2016-10-16,297.3226257214,4.67236770868,WFC3 IR G141,188,"[""into the uv: a precise transmission spectrum of hat-p-41b using hubble's wfc3/uvis g280 grism"", 'into the uv: the atmosphere of the hot jupiter hat-p-41b revealed', 'the hubble pancet program: a metal-rich atmosphere for the inflated hot jupiter hat-p-41b']","['2020AJ....159..204W', '2020ApJ...902L..19L', '2021AJ....161...51S']","['2MASS J19491743+0440207' 'GSC 00488-02442'
 'Gaia DR1 4290415077347790208' 'Gaia DR2 4290415081653653632' 'HAT-P-41'
 'SPOCS 3251' 'TIC 398895470' 'TYC  488-2442-1']",HAT-P-41,2457677.5
WASP-67,14260,WASP-67,Deming,Drake,2016-10-22,295.7437375822,-19.94971383633,WFC3 IR G141,72,"['a comparative study of wasp-67 b and hat-p-38 b from wfc3 data', 'the dark world: a tale of wasp-43b in reflected light with hst wfc3/uvis']","['2018AJ....155...55B', '2021AJ....161..269F']","['1SWASP J194258.51-195658.4' '2MASS J19425852-1956585'
 'Gaia DR1 6868476687190037888' 'Gaia DR2 6868476691490044672'
 'TIC 68952448' 'TYC 6307-1388-1' 'WASP-67']",WASP-67,2457683.5
WASP-76,14767,WASP-76,Sing,David,2016-11-03,26.63296736773,2.70039301883,WFC3 IR G141,94,"['ares i: wasp-76 b, a tale of two hst spectra', 'a population study of gaseous exoplanets']","['2020AJ....160....8E', '2018AJ....155..156T']","['1SWASP J014631.86+024202.0' '2MASS J01463185+0242019' 'AG+02  184'
 'BD+01   316' 'GSC 00032-00111' 'Gaia DR2 2512326349403275520'
 'PPM 144970' 'SAO 110122' 'TIC 293435336' 'TYC   32-111-1' 'WASP-76'
 'YZ   2   503']",WASP-76,2457695.5
WASP-121,14767,WASP-121,Sing,David,2016-11-11,107.6002211467,-39.09724056767,WFC3 IR G141,80,"['a population study of gaseous exoplanets', 'hot exoplanet atmospheres resolved with transit spectroscopy (hearts). iv. a spectral inventory of atoms and molecules in the high-resolution transmission spectrum of wasp-121 b', 'from thermal dissociation to condensation in the atmospheres of ultra hot jupiters: wasp-121b in context']","['2018AJ....155..156T', '2020A&A...641A.123H', '2018A&A...617A.110P']","['1SWASP J071024.05-390550.5' '2MASS J07102406-3905506' 'CD-38  3220'
 'Gaia DR1 5565050251402363648' 'Gaia DR2 5565050255701441664'
 'TIC 22529346' 'TOI-495' 'TYC 7630-352-1' 'WASP-121']",WASP-121,2457703.5
TOI-1476,14664,KELT-1,Beatty,Thomas,2016-11-23,0.3621983017863,39.38373147379,WFC3 IR G141,760,,,,,2457715.5
HAT-P-32,14767,HAT-P-32,Sing,David,2016-12-18,31.04274050171,46.68785778957,WFC3 IR G141,90,"['near-ir transmission spectrum of hat-p-32b using hst/wfc3', 'hubble pancet: an isothermal day-side atmosphere for the bloated gas-giant hat-p-32ab']","['2017AJ....154...39D', '2018MNRAS.474.1705N']","['2MASS J02041028+4641162' 'GSC 03281-00800' 'Gaia DR1 356348282588373888'
 'Gaia DR2 356348286886230272' 'HAT-P-32' 'TIC 292152376' 'TYC 3281-800-1'
 'UCAC2  47486078' 'UCAC3 274-27296']",HAT-P-32,2457740.5
HAT-P-11,14793,HAT-P-11,Bean,Jacob,2016-12-26,297.7102638156,48.08194938398,WFC3 IR G102,513,"['detection of helium in the atmosphere of the exo-neptune hat-p-11b', 'diagnosing clouds and hazes in exoplanet atmospheres', 'the influence of nonuniform cloud cover on transit transmission spectra']","['2018ApJ...868L..34M', '2015PhDT........66F', '2016ApJ...820...78L']","['2MASS J19505021+4804508' 'ASCC  346382' 'BD+47  2936' 'G 208-41'
 'GSC 03561-02092' 'Gaia DR1 2086512223550151936'
 'Gaia DR2 2086512227851023872' 'HAT-P-11' 'HIC  97657' 'HIP  97657'
 'KIC 10748390' 'KOI-3' 'Kepler-3' 'LSPM J1950+4804' 'NLTT 48335'
 'SPOCS 4127' 'TIC 28230919' 'TYC 3561-2092-1' 'USNO-B1.0 1380-00392296'
 'WISEA J195050.38+480453.5']",HAT-P-11,2457748.5
